,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,8558,10281,2008-08-30 00:00:00,754.0,798.0,16.88,29.05,35.53,1,0,0
0,10189,9911,2008-08-30 00:00:00,863.0,803.0,12.709999999999999,35.58,65.9,1,0,0
0,9772,9773,2008-08-30 00:00:00,0.0,0.0,22.08,27.580000000000002,24.43,0,1,0
0,8721,9810,2008-08-30 00:00:00,796.0,769.0,14.75,31.65,44.05,0,1,0
0,7819,9847,2008-08-30 00:00:00,725.0,809.0,23.5,26.129999999999995,24.37,0,0,1
0,9855,9829,2008-08-30 00:00:00,716.0,741.0,22.63,26.179999999999996,25.35,1,0,0
0,9912,9790,2008-08-30 00:00:00,775.0,850.0,31.55,29.2,17.88,0,0,1
0,8398,9789,2008-08-30 00:00:00,751.0,776.0,29.450000000000003,29.18,18.650000000000002,0,0,1
0,10267,8661,2008-08-30 00:00:00,850.0,812.0,15.139999999999999,30.65,43.25,1,0,0
0,8178,8226,2008-08-30 00:00:00,813.0,707.0,15.680000000000001,30.95,38.56,1,0,0
0,8600,8540,2008-08-30 00:00:00,823.0,811.0,18.36,26.979999999999997,32.75,1,0,0
0,9788,8697,2008-08-30 00:00:00,756.0,864.0,35.480000000000004,30.150000000000002,16.52,1,0,0
0,9830,8682,2008-08-30 00:00:00,756.0,646.0,19.4,26.119999999999997,31.0,0,0,1
0,8689,8583,2008-08-30 00:00:00,742.0,771.0,17.81,26.83,35.1,0,0,1
0,8592,9874,2008-08-30 00:00:00,768.0,787.0,12.969999999999999,33.2,67.3,1,0,0
0,8481,9746,2008-08-30 00:00:00,784.0,730.0,15.35,28.4,46.6,1,0,0
0,8322,2182,2008-08-31 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8614,10217,2008-08-31 00:00:00,635.0,569.0,17.06,29.85,32.15,0,0,1
